43
-1	0	0	168	256	16
-1	0	256	135	160	16
-1	0	416	104	160	16
-1	0	576	69	160	16
-1	0	576	69	16	64
-1	0	720	69	16	144
-1	0	256	135	16	64
-1	0	416	104	16	80
-1	0	800	167	32	16
-1	0	800	176	32	32
-1	0	864	135	32	96
-1	0	928	104	32	112
-1	0	960	169	128	48
-1	0	1104	70	80	16
-1	0	1168	70	16	58
-1	0	1152	168	96	16
-1	0	1216	70	96	16
-1	0	1280	135	64	16
-1	0	1312	103	288	16
-1	0	1472	136	64	16
-1	0	1376	168	64	16
-1	0	1600	71	160	16
-1	0	1568	167	128	16
-1	0	1824	166	32	16
-1	0	1856	104	32	8
-1	0	1904	71	48	16
-1	0	1984	135	32	16
-1	0	2048	135	96	16
-1	0	2144	103	96	16
-1	0	2240	168	96	16
-1	0	2336	135	64	16
-1	0	2400	167	96	16
-1	0	2496	134	96	16
-1	0	2592	167	64	16
-1	0	2656	135	64	16
-1	0	2720	103	160	16
-1	0	2944	167	112	16
1	1	306	99	24	32
1	1	372	101	24	32
1	1	868	96	24	32
-3	6	1888	64	16	128
-3	6	1088	80	16	89
-1	0	1056	104	32	8
