0	0	0	4096	208	4	0
01	0	0	2048	104	4	0
011	0	0	1024	52	0	0
012	1024	0	1024	52	0	0
013	0	52	1024	52	4	0
0131	0	52	512	26	0	0
0132	512	52	512	26	4	0
01321	512	52	256	13	0	0
01322	768	52	256	13	0	0
01323	512	65	256	13	4	0
013231	512	65	128	6	0	2	3	4
013232	640	65	128	6	0	2	3	5
013233	512	71	128	6	0	2	3	4
013234	640	71	128	6	0	2	3	5
01324	768	65	256	13	0	0
0133	0	78	512	26	4	0
01331	0	78	256	13	0	0
01332	256	78	256	13	0	0
01333	0	91	256	13	0	0
01334	256	91	256	13	4	0
013341	256	91	128	6	0	0
013342	384	91	128	6	0	0
013343	256	97	128	6	0	2	37	38
013344	384	97	128	6	0	1	38
0134	512	78	512	26	4	0
01341	512	78	256	13	4	0
013411	512	78	128	6	0	2	3	4
013412	640	78	128	6	0	2	3	5
013413	512	84	128	6	0	2	3	4
013414	640	84	128	6	0	2	3	5
01342	768	78	256	13	0	0
01343	512	91	256	13	4	0
013431	512	91	128	6	0	1	4
013432	640	91	128	6	0	1	5
013433	512	97	128	6	0	1	4
013434	640	97	128	6	0	1	5
01344	768	91	256	13	4	0
013441	768	91	128	6	0	1	39
013442	896	91	128	6	0	0
013443	768	97	128	6	0	1	39
013444	896	97	128	6	0	0
014	1024	52	1024	52	4	0
0141	1024	52	512	26	4	0
01411	1024	52	256	13	0	0
01412	1280	52	256	13	0	0
01413	1024	65	256	13	4	0
014131	1024	65	128	6	0	1	13
014132	1152	65	128	6	0	3	13	14	16
014133	1024	71	128	6	0	1	13
014134	1152	71	128	6	0	3	13	14	16
01414	1280	65	256	13	4	0
014141	1280	65	128	6	0	1	16
014142	1408	65	128	6	0	0
014143	1280	71	128	6	0	1	16
014144	1408	71	128	6	0	0
0142	1536	52	512	26	4	0
01421	1536	52	256	13	0	0
01422	1792	52	256	13	4	0
014221	1792	52	128	6	0	0
014222	1920	52	128	6	0	0
014223	1792	58	128	6	0	0
014224	1920	58	128	6	0	0
01423	1536	65	256	13	4	0
014231	1536	65	128	6	0	0
014232	1664	65	128	6	0	0
014233	1536	71	128	6	0	1	21
014234	1664	71	128	6	0	1	21
01424	1792	65	256	13	4	0
014241	1792	65	128	6	0	1	40
014242	1920	65	128	6	0	0
014243	1792	71	128	6	0	2	25	40
014244	1920	71	128	6	0	1	25
0143	1024	78	512	26	4	0
01431	1024	78	256	13	4	0
014311	1024	78	128	6	0	2	13	41
014312	1152	78	128	6	0	3	13	14	16
014313	1024	84	128	6	0	2	13	41
014314	1152	84	128	6	0	3	13	14	16
