13	256
16	16
25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	49	55	44	44	66	67	0	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	100	106	44	44	44	44	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	44	44	100	106	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	112	47	44	44	44	44	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	100	106	44	44	44	44	44	44	44	44	44	44	112	47	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	100	106	44	44	66	119	0	120	121	122	123	124	125	126	127	128	129	130	131	132	133	0	134	135	136	137	138	139	140	141	142	143	0	0	0	0	0	0	0	0	144	145	145	145	145	145	145	145	146	147	147	148	149	150	151	152	153	154	155	0	156	156	156	156	156	156	156	156	0	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	44	44	44	44	159	160	160	160	160	160	160	160	160	163	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	44	44	44	44	166	160	160	160	160	163	44	44	159	160	160	160	160	163	44	44	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	159	160	160	160	160	160	160	160	160	163	44	44	45	46	47	48	44	44	166	174	160	163	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	66	67	0	120	177	122	178	179	180	181	182	183	184	185	186	187	188	0	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	0	0	0	0	0	0	0	0	0	0	0	210	211	212	212	213	214	211	215	216	215	217	218	219	220	219	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	100	106	44	44	44	44	44	44	44	44	44	44	44	44	66	224	224	225	224	225	224	225	224	226	44	44	112	47	44	44	44	44	100	106	44	44	44	44	44	44	44	44	44	44	44	44	227	224	224	224	224	224	44	44	66	224	224	224	224	224	44	44	44	44	44	44	44	44	44	44	100	106	44	44	44	44	44	44	66	224	224	225	224	225	224	225	224	226	44	44	93	94	95	96	44	44	227	225	224	226	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	112	47	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	44	44	44	44	112	47	44	44	44	44	44	44	66	119	0	234	235	236	237	238	239	240	241	242	243	244	245	246	247	0	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	0	0	0	0	0	0	0	0	0	0	0	269	270	271	272	273	274	270	275	276	277	278	279	280	281	282	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	159	160	160	160	160	160	160	160	160	160	289	67	119	67	119	67	119	67	119	228	44	44	45	46	47	48	44	44	44	44	44	44	159	163	44	44	49	55	44	44	292	293	227	67	119	67	119	228	44	44	66	67	119	67	119	228	294	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	289	67	119	67	119	119	119	67	119	228	44	44	44	44	44	44	292	293	227	67	119	228	44	44	44	44	44	44	44	44	44	44	44	44	159	160	160	160	160	163	44	44	45	46	47	48	44	44	44	44	44	44	44	44	44	44	44	44	49	55	44	44	44	44	44	44	44	44	44	44	298	160	160	160	160	160	160	160	160	163	44	44	45	46	47	48	44	44	44	44	66	67	0	0	300	301	302	303	0	0	0	304	0	305	306	0	0	0	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	0	322	323	324	325	326	327	328	329	330	331	332	0	0	0	0	0	333	334	335	336	337	338	334	339	340	341	342	343	329	330	331	332	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	66	224	224	225	224	225	224	225	224	225	67	119	67	119	67	119	67	119	67	228	44	44	93	94	95	96	44	44	44	44	44	44	66	226	44	44	100	106	44	44	44	44	227	119	67	67	67	228	44	44	66	119	67	119	67	119	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	67	119	67	119	352	119	67	119	67	228	44	44	44	44	44	44	44	44	227	119	67	228	44	44	44	44	44	44	44	44	44	44	44	44	66	224	224	225	224	226	44	44	93	94	95	96	44	44	44	44	44	44	44	44	44	44	44	44	100	106	44	44	44	44	44	44	44	44	44	44	66	224	224	225	224	225	224	225	224	226	44	44	93	94	95	96	44	44	44	44	354	119	0	0	355	356	357	358	0	0	0	359	360	361	362	0	0	0	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	0	378	379	380	381	382	383	384	385	386	387	388	0	0	0	0	389	390	391	392	393	394	395	396	397	398	399	400	401	392	402	0	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	159	160	160	160	160	160	160	160	160	160	289	67	119	67	119	67	119	67	119	67	119	67	119	67	119	67	119	67	119	228	44	44	44	44	44	44	44	44	159	163	44	44	66	228	44	44	44	44	44	44	44	44	227	67	119	67	67	67	44	44	67	67	119	67	414	160	160	415	119	67	119	67	119	67	119	67	414	160	160	415	119	67	119	67	119	67	119	67	119	67	119	67	119	417	100	106	418	44	100	106	100	106	227	67	119	228	100	106	159	163	418	421	159	160	160	160	160	160	289	67	119	67	119	228	44	44	44	44	44	44	159	160	160	163	44	44	44	44	44	44	159	160	160	160	160	163	44	44	44	44	159	160	160	160	289	67	119	67	119	67	119	67	119	228	44	44	44	44	44	44	44	44	44	44	422	66	0	0	423	424	425	426	0	0	0	427	428	429	430	431	0	0	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	0	447	448	449	450	451	452	453	454	455	456	457	458	459	0	0	460	461	462	463	464	451	465	466	467	0	0	0	0	0	0	0	0	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	66	224	224	225	224	225	224	225	224	225	67	119	67	119	67	119	67	119	67	119	67	119	67	119	67	119	67	119	67	228	44	44	44	44	44	44	44	44	66	226	44	44	66	228	44	44	44	44	44	44	44	44	472	119	67	119	67	67	44	44	67	67	67	119	475	476	476	476	67	119	67	119	67	119	67	119	475	476	476	476	67	119	67	119	67	119	67	119	67	119	67	119	477	478	478	478	479	480	478	478	478	478	227	119	67	228	478	478	66	226	479	480	66	224	224	225	224	225	67	119	67	119	67	228	44	44	44	44	44	44	66	224	224	228	44	44	44	44	44	44	66	224	224	225	224	228	44	44	44	44	66	224	224	225	67	119	67	119	67	119	67	119	67	228	44	44	44	44	44	44	44	44	44	44	422	66	0	0	0	483	484	485	486	487	0	488	489	490	491	492	0	0	493	494	495	496	497	498	499	500	501	502	503	504	505	506	0	0	507	508	509	510	511	512	513	514	515	516	517	518	519	213	218	520	521	522	523	524	525	526	527	528	0	0	0	0	0	0	0	0	
